id,key,value,type
62947467,source,massgis_import_v0.1_20071009085127,regular
62947467,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947469,source,massgis_import_v0.1_20071009085127,regular
62947469,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947488,source,massgis_import_v0.1_20071009085127,regular
62947515,source,massgis_import_v0.1_20071009085127,regular
62947515,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947517,source,massgis_import_v0.1_20071009085127,regular
62947536,source,massgis_import_v0.1_20071009085127,regular
62947536,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947584,source,massgis_import_v0.1_20071009085127,regular
62947584,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947591,source,massgis_import_v0.1_20071009085127,regular
62947591,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947606,source,massgis_import_v0.1_20071009085127,regular
62947606,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947648,source,massgis_import_v0.1_20071009085127,regular
62947648,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947714,source,massgis_import_v0.1_20071009085127,regular
62947714,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947769,source,massgis_import_v0.1_20071009085127,regular
62947769,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947849,source,massgis_import_v0.1_20071009085127,regular
62947849,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947905,source,massgis_import_v0.1_20071009085127,regular
62947905,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947918,source,massgis_import_v0.1_20071009085127,regular
62947918,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947925,source,massgis_import_v0.1_20071009085127,regular
62947925,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947928,source,massgis_import_v0.1_20071009085127,regular
62947928,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947939,source,massgis_import_v0.1_20071009085127,regular
62947939,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947965,source,massgis_import_v0.1_20071009085127,regular
62947965,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947971,source,massgis_import_v0.1_20071009085127,regular
62947971,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62947980,source,massgis_import_v0.1_20071009085127,regular
62947980,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948012,source,massgis_import_v0.1_20071009085127,regular
62948012,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948164,source,massgis_import_v0.1_20071009085127,regular
62948164,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948219,source,massgis_import_v0.1_20071009085127,regular
62948219,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948300,source,massgis_import_v0.1_20071009085127,regular
62948300,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948322,source,massgis_import_v0.1_20071009085127,regular
62948322,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948495,source,massgis_import_v0.1_20071009085127,regular
62948495,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948604,source,massgis_import_v0.1_20071009085127,regular
62948604,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948768,source,massgis_import_v0.1_20071009085127,regular
62948858,source,massgis_import_v0.1_20071009085127,regular
62948858,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62948926,source,massgis_import_v0.1_20071009085127,regular
62948926,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949231,source,massgis_import_v0.1_20071009085127,regular
62949238,source,massgis_import_v0.1_20071009085127,regular
62949238,attribution,Office of Geographic and Environmental Information (MassGIS),regular
