id,user,uid,version,changeset,timestamp
8882923,MassGIS Import,15750,1,101798,2007-10-11T18:00:54Z
8882927,MassGIS Import,15750,1,101798,2007-10-11T18:00:55Z
8882931,MassGIS Import,15750,1,101798,2007-10-11T18:00:57Z
8882941,Tomash Pilshchik,24403,2,118280,2008-02-14T04:05:35Z
8882944,OceanVortex,354704,2,19313375,2013-12-06T21:38:15Z
8882945,NE2,207745,2,8812374,2011-07-24T06:57:55Z
8882954,MassGIS Import,15750,1,101798,2007-10-11T18:01:05Z
8882955,LBenoit,2418192,2,26257200,2014-10-22T14:43:59Z
8882959,MassGIS Import,15750,1,101798,2007-10-11T18:01:07Z
8882961,MassGIS Import,15750,1,101798,2007-10-11T18:01:07Z
8882979,MassGIS Import,15750,1,101798,2007-10-11T18:01:13Z
8882981,MassGIS Import,15750,1,101798,2007-10-11T18:01:13Z
8882982,Z6Z168QM3Y2MNVVR,2935895,6,31473585,2015-05-26T14:05:14Z
8882984,OceanVortex,354704,2,19324753,2013-12-07T15:44:42Z
8882988,georgeroberge,1798919,2,18775413,2013-11-08T02:11:47Z
8882990,MassGIS Import,15750,1,101798,2007-10-11T18:01:17Z
8882994,OceanVortex,354704,2,19324998,2013-12-07T15:59:04Z
8883003,MassGIS Import,15750,1,101798,2007-10-11T18:01:21Z
8883005,MassGIS Import,15750,1,101798,2007-10-11T18:01:21Z
8883009,MassGIS Import,15750,1,101798,2007-10-11T18:01:23Z
8883011,MassGIS Import,15750,1,101798,2007-10-11T18:01:23Z
8883014,MassGIS Import,15750,1,101798,2007-10-11T18:01:24Z
8883016,MassGIS Import,15750,1,101798,2007-10-11T18:01:24Z
8883019,NE2,207745,9,12675682,2012-08-10T03:56:04Z
8883022,MassGIS Import,15750,1,101798,2007-10-11T18:01:27Z
8883023,MassGIS Import,15750,1,101798,2007-10-11T18:01:27Z
8883024,MassGIS Import,15750,1,101798,2007-10-11T18:01:28Z
8883027,NE2,207745,11,9896563,2011-11-21T13:44:51Z
8883030,MassGIS Import,15750,1,101798,2007-10-11T18:01:31Z
8883032,MassGIS Import,15750,1,101798,2007-10-11T18:01:32Z
8883036,NE2,207745,6,13218737,2012-09-23T11:40:35Z
8883043,RacerChick,2119035,4,31904934,2015-06-11T19:20:03Z
8883044,MassGIS Import,15750,1,101798,2007-10-11T18:01:36Z
8883046,MassGIS Import,15750,1,101798,2007-10-11T18:01:37Z
8883054,MassGIS Import,15750,1,101798,2007-10-11T18:01:39Z
8883056,MassGIS Import,15750,1,101798,2007-10-11T18:01:40Z
8883061,MassGIS Import,15750,1,101798,2007-10-11T18:01:41Z
8883066,MassGIS Import,15750,1,101798,2007-10-11T18:01:43Z
8883067,RacerChick,2119035,3,31904934,2015-06-11T19:20:09Z
8883070,MassGIS Import,15750,1,101798,2007-10-11T18:01:44Z
8883073,MassGIS Import,15750,1,101798,2007-10-11T18:01:45Z
8883076,MassGIS Import,15750,1,101798,2007-10-11T18:01:46Z
8883080,MassGIS Import,15750,1,101798,2007-10-11T18:01:48Z
8883082,RacerChick,2119035,5,31904934,2015-06-11T19:19:59Z
8883087,nkhall,179506,4,3066280,2009-11-08T17:41:39Z
8883091,MassGIS Import,15750,1,101798,2007-10-11T18:01:51Z
8883092,MassGIS Import,15750,1,101798,2007-10-11T18:01:52Z
8883096,nkhall,179506,2,3052230,2009-11-06T22:14:11Z
8883102,MassGIS Import,15750,1,101798,2007-10-11T18:01:57Z
8883104,MassGIS Import,15750,1,101798,2007-10-11T18:01:58Z
8883106,MassGIS Import,15750,1,101798,2007-10-11T18:01:59Z
8883107,MassGIS Import,15750,1,101798,2007-10-11T18:01:59Z
8883108,MassGIS Import,15750,1,101798,2007-10-11T18:02:00Z
8883113,MassGIS Import,15750,1,101798,2007-10-11T18:02:02Z
8883114,MassGIS Import,15750,1,101798,2007-10-11T18:02:02Z
8883116,RacerChick,2119035,3,31904934,2015-06-11T19:20:08Z
8883118,RacerChick,2119035,2,31904934,2015-06-11T19:20:10Z
8883122,MassGIS Import,15750,1,101798,2007-10-11T18:02:05Z
8883126,MassGIS Import,15750,1,101798,2007-10-11T18:02:06Z
8883134,MassGIS Import,15750,1,101798,2007-10-11T18:02:09Z
8883135,MassGIS Import,15750,1,101798,2007-10-11T18:02:10Z
8883136,MassGIS Import,15750,1,101798,2007-10-11T18:02:10Z
8883138,42429,42429,2,10008425,2011-12-01T14:16:12Z
8883139,MassGIS Import,15750,1,101798,2007-10-11T18:02:11Z
8883150,OceanVortex,354704,2,19324998,2013-12-07T15:59:04Z
8883153,MassGIS Import,15750,1,101798,2007-10-11T18:02:15Z
8883156,OceanVortex,354704,2,19325415,2013-12-07T16:26:36Z
8883157,MassGIS Import,15750,1,101798,2007-10-11T18:02:17Z
8883163,MassGIS Import,15750,1,101798,2007-10-11T18:02:19Z
8883167,MassGIS Import,15750,1,101798,2007-10-11T18:02:20Z
8883168,MassGIS Import,15750,1,101798,2007-10-11T18:02:21Z
8883177,LBenoit,2418192,2,26259117,2014-10-22T16:20:01Z
8883180,MassGIS Import,15750,1,101798,2007-10-11T18:02:25Z
8883184,MassGIS Import,15750,1,101798,2007-10-11T18:02:27Z
8883190,user_599436,599436,5,35174522,2015-11-08T17:49:07Z
8883195,OceanVortex,354704,2,19325415,2013-12-07T16:26:34Z
8883196,MassGIS Import,15750,1,101798,2007-10-11T18:02:31Z
8883204,RacerChick,2119035,3,31904934,2015-06-11T19:20:15Z
8883205,nkhall,179506,5,3052218,2009-11-06T22:12:33Z
8883206,MassGIS Import,15750,1,101798,2007-10-11T18:02:33Z
8883210,MassGIS Import,15750,1,101798,2007-10-11T18:02:36Z
8883211,MassGIS Import,15750,1,101798,2007-10-11T18:02:36Z
8883217,hofoen,52797,6,38783072,2016-04-22T11:38:52Z
8883219,MassGIS Import,15750,1,101798,2007-10-11T18:02:40Z
8883222,MassGIS Import,15750,1,101798,2007-10-11T18:02:41Z
8883227,MassGIS Import,15750,1,101798,2007-10-11T18:02:43Z
8883228,MassGIS Import,15750,1,101798,2007-10-11T18:02:43Z
8883230,MassGIS Import,15750,1,101798,2007-10-11T18:02:44Z
8883234,MassGIS Import,15750,1,101798,2007-10-11T18:02:46Z
8883239,MassGIS Import,15750,1,101798,2007-10-11T18:02:48Z
8883240,MassGIS Import,15750,1,101798,2007-10-11T18:02:48Z
8883241,OceanVortex,354704,2,19324328,2013-12-07T15:18:19Z
8883242,MassGIS Import,15750,1,101798,2007-10-11T18:02:49Z
8883246,MassGIS Import,15750,1,101798,2007-10-11T18:02:50Z
8883247,MassGIS Import,15750,1,101798,2007-10-11T18:02:51Z
8883251,MassGIS Import,15750,1,101798,2007-10-11T18:02:53Z
8883252,MassGIS Import,15750,1,101798,2007-10-11T18:02:53Z
8883254,MassGIS Import,15750,1,101798,2007-10-11T18:02:54Z
8883259,MassGIS Import,15750,1,101798,2007-10-11T18:02:56Z
8883265,MassGIS Import,15750,1,101798,2007-10-11T18:02:59Z
8883272,MassGIS Import,15750,1,101798,2007-10-11T18:03:02Z
8883273,MassGIS Import,15750,1,101798,2007-10-11T18:03:03Z
8883279,MassGIS Import,15750,1,101798,2007-10-11T18:03:06Z
8883281,Maskulinum,618377,4,22742017,2014-06-04T19:51:48Z
8883282,NE2,207745,2,8812374,2011-07-24T07:19:57Z
8883289,MassGIS Import,15750,1,101798,2007-10-11T18:03:09Z
8883298,LBenoit,2418192,2,26259117,2014-10-22T16:20:05Z
8883300,MassGIS Import,15750,1,101798,2007-10-11T18:03:13Z
8883301,MassGIS Import,15750,1,101798,2007-10-11T18:03:14Z
8883302,MassGIS Import,15750,1,101798,2007-10-11T18:03:15Z
8883303,Z6Z168QM3Y2MNVVR,2935895,11,31477062,2015-05-26T15:47:07Z
8883304,Z6Z168QM3Y2MNVVR,2935895,11,31490935,2015-05-26T23:09:43Z
8883306,MassGIS Import,15750,1,101798,2007-10-11T18:03:16Z
8883307,MassGIS Import,15750,1,101798,2007-10-11T18:03:17Z
8883308,MassGIS Import,15750,1,101798,2007-10-11T18:03:17Z
8883310,MassGIS Import,15750,1,101798,2007-10-11T18:03:18Z
8883314,MassGIS Import,15750,1,101798,2007-10-11T18:03:20Z
8883315,MassGIS Import,15750,1,101798,2007-10-11T18:03:21Z
8883317,MassGIS Import,15750,1,101798,2007-10-11T18:03:21Z
8883319,OceanVortex,354704,2,19324328,2013-12-07T15:18:19Z
8883326,NE2,207745,6,13218737,2012-09-23T11:32:43Z
8883327,nkhall,179506,5,3052218,2009-11-06T22:12:10Z
8883328,MassGIS Import,15750,1,101798,2007-10-11T18:03:24Z
8883335,MassGIS Import,15750,1,101798,2007-10-11T18:03:26Z
8883339,MassGIS Import,15750,1,101798,2007-10-11T18:03:27Z
8883348,stangoodman,224610,2,22073016,2014-05-01T21:02:11Z
8883351,user_599436,599436,9,35174522,2015-11-08T17:49:32Z
8883353,NE2,207745,2,8812374,2011-07-24T08:09:57Z
8883356,OceanVortex,354704,2,18721713,2013-11-04T23:42:34Z
8883363,MassGIS Import,15750,1,101798,2007-10-11T18:03:34Z
8883367,Iowa Kid,703517,4,29686991,2015-03-23T19:58:03Z
8883376,NE2,207745,2,8812374,2011-07-24T07:19:57Z
8883380,MassGIS Import,15750,1,101798,2007-10-11T18:03:39Z
8883382,MassGIS Import,15750,1,101798,2007-10-11T18:03:40Z
8883383,NE2,207745,2,13218737,2012-09-23T11:40:31Z
8883385,MassGIS Import,15750,1,101798,2007-10-11T18:03:40Z
